Name,Research unit(s),URL
David Michael Bellos,French & Italian,https://collaborate.princeton.edu/en/persons/david-michael-bellos
Roland Jean-Marc Benabou,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/roland-jean-marc-benabou
Andre Benhaim,French & Italian,https://collaborate.princeton.edu/en/persons/andre-benhaim
Ruha Benjamin,African American Studies,https://collaborate.princeton.edu/en/persons/ruha-benjamin
Sandra Lekas Bermann,Comparative Literature,https://collaborate.princeton.edu/en/persons/sandra-lekas-bermann
Bogdan Andrei Bernevig,"Physics, Princeton Center for Theoretical Science",https://collaborate.princeton.edu/en/persons/bogdan-andrei-bernevig
Michael James Berry,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/michael-james-berry
Erin Dayle Besler,,https://collaborate.princeton.edu/en/persons/erin-dayle-besler
Wallace DeNino Best,Religion,https://collaborate.princeton.edu/en/persons/wallace-denino-best
Manjul Bhargava,Mathematics,https://collaborate.princeton.edu/en/persons/manjul-bhargava
Ravindra N. Bhatt,"Electrical and Computer Engineering, Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/ravindra-n-bhatt
Amitava Bhattacharjee,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/amitava-bhattacharjee
William Bialek,"Physics, Lewis-Sigler Institute for Integrative Genomics, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/william-bialek
He Bian,History,https://collaborate.princeton.edu/en/persons/he-bian
Joao Biehl,,https://collaborate.princeton.edu/en/persons/joao-biehl
Joshua Henry Billings,Classics,https://collaborate.princeton.edu/en/persons/joshua-henry-billings
Michael Albert Blaakman,History,https://collaborate.princeton.edu/en/persons/michael-albert-blaakman
Christopher William Blair,Politics,https://collaborate.princeton.edu/en/persons/christopher-william-blair
Zachary Bleemer,Economics,https://collaborate.princeton.edu/en/persons/zachary-bleemer
Alan Stuart Blinder,"Economics, Bendheim Center for Finance, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/alan-stuart-blinder
Goran Magnus Blix,French & Italian,https://collaborate.princeton.edu/en/persons/goran-magnus-blix
