Name,Research unit(s),URL,Research
David Michael Bellos,French & Italian,https://collaborate.princeton.edu/en/persons/david-michael-bellos,French Italian
Roland Jean-Marc Benabou,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/roland-jean-marc-benabou,Princeton School of Public and International Affairs
Andre Benhaim,French & Italian,https://collaborate.princeton.edu/en/persons/andre-benhaim,French Italian
Ruha Benjamin,African American Studies,https://collaborate.princeton.edu/en/persons/ruha-benjamin,African American Studies
Sandra Lekas Bermann,Comparative Literature,https://collaborate.princeton.edu/en/persons/sandra-lekas-bermann,Comparative Literature
Bogdan Andrei Bernevig,"Physics, Princeton Center for Theoretical Science",https://collaborate.princeton.edu/en/persons/bogdan-andrei-bernevig,"Physics, Princeton Center Theoretical Science"
Michael James Berry,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/michael-james-berry,Princeton Neuroscience Institute
Wallace DeNino Best,Religion,https://collaborate.princeton.edu/en/persons/wallace-denino-best,Religion
Manjul Bhargava,Mathematics,https://collaborate.princeton.edu/en/persons/manjul-bhargava,Mathematics
Ravindra N. Bhatt,"Electrical and Computer Engineering, Physics, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/ravindra-n-bhatt,"Electrical and Computer Engineering, Physics, Princeton Materials Institute"
Amitava Bhattacharjee,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/amitava-bhattacharjee,Astrophysical Sciences
William Bialek,"Physics, Lewis-Sigler Institute for Integrative Genomics, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/william-bialek,"Physics, Lewis-Sigler Institute Integrative Genomics, Princeton Neuroscience Institute"
He Bian,History,https://collaborate.princeton.edu/en/persons/he-bian,History
Joshua Henry Billings,Classics,https://collaborate.princeton.edu/en/persons/joshua-henry-billings,Classics
Michael Albert Blaakman,History,https://collaborate.princeton.edu/en/persons/michael-albert-blaakman,History
Christopher William Blair,Politics,https://collaborate.princeton.edu/en/persons/christopher-william-blair,Politics
Zachary Bleemer,Economics,https://collaborate.princeton.edu/en/persons/zachary-bleemer,Economics
Alan Stuart Blinder,"Economics, Bendheim Center for Finance, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/alan-stuart-blinder,"Economics, Bendheim Center Finance, Princeton Materials Institute"
Goran Magnus Blix,French & Italian,https://collaborate.princeton.edu/en/persons/goran-magnus-blix,French Italian
Andrew Bruce Bocarsly,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/andrew-bruce-bocarsly,"Chemistry, High Meadows Environmental Institute, Princeton Materials Institute"
Carles Boix,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/carles-boix,Princeton School of Public and International Affairs
Yarimar Bonilla,Effron Center Study of America,https://collaborate.princeton.edu/en/persons/yarimar-bonilla,Effron Center Study of America
Amy Beth Borovoy,East Asian Studies,https://collaborate.princeton.edu/en/persons/amy-beth-borovoy,East Asian Studies
Grace Bosse,Physics,https://collaborate.princeton.edu/en/persons/grace-bosse,Physics
Lisa M. Boulanger,"Princeton Neuroscience Institute, Molecular Biology",https://collaborate.princeton.edu/en/persons/lisa-m-boulanger,"Princeton Neuroscience Institute, Molecular Biology"
